bit_length,request_time,quality_id
246000,32138.250163013,424520
1001968,32138.328184728,808057
925152,32138.540908558,1312787
2017528,32138.737441785,1662809
2000728,32139.165501778,1662809
1945360,32139.590030718,1662809
1894368,32140.175526904,1662809
1836456,32140.577116866,1662809
1982624,32140.966414938,1662809
2006488,32141.38667677,1662809
2003760,32141.811966843,1662809
1636384,32142.236696934,1662809
1759632,32142.583514043,1662809
1845896,32142.956497826,1662809
1812712,32143.347854908,1662809
2233288,32146.271596585,1662809
1333480,32149.873417542,1662809
1484048,32155.303431469,1662809
1261872,32157.697528015,1662809
1086928,32159.733162556,1662809
1399472,32165.080168113,1312787
725696,32167.337524693,1312787
671856,32168.508726388,1312787
1262568,32173.713592719,1312787
1392816,32175.750389613,1312787
1408848,32177.997022915,1312787
1139272,32180.269547025,1071529
1077792,32185.633411213,1071529
1165792,32187.37211774,1071529
1192624,32189.253135612,1071529
1133696,32194.643339713,1071529
1184632,32196.472198807,1071529
1205720,32198.383205395,1071529
1079920,32203.754769247,1071529
754512,32205.497486697,808057
841824,32206.715338997,808057
814176,32208.073918508,808057
822560,32213.459446573,808057
800968,32214.786670357,808057
838832,32216.079046223,808057
838264,32217.432317569,808057
830760,32218.784771946,808057
811128,32224.053408104,808057
842216,32225.362451381,808057
835664,32226.72157114,808057
832424,32228.069604841,808057
832544,32229.412582228,808057
838488,32234.669530624,808057
790496,32240.00341892,808057
851640,32241.279365645,808057
660576,32242.653474737,620705
647408,32243.719414556,620705
559968,32248.943741358,620705
618600,32249.847697714,620705
667048,32250.845973466,620705
734216,32251.922269024,620705
538272,32253.106849571,620705
385592,32253.975689348,620705
571944,32259.090572959,620705
439344,32260.013509507,620705
627280,32260.722746301,620705
517936,32261.735026159,620705
584672,32262.571326719,620705
631624,32263.515082649,620705
576360,32268.75332773,620705
663752,32269.68345821,620705
740224,32270.754438805,620705
606560,32271.948780131,620705
699808,32272.927661826,620705
683568,32274.05684693,620705
446064,32279.283545886,620705
604232,32280.003703849,620705
599856,32280.979180425,620705
633512,32281.947436196,620705
673752,32282.969603026,620705
616464,32284.056725282,620705
647424,32289.253717679,620705
587400,32290.298701347,537825
581920,32291.246500284,537825
652872,32292.18550756,537825
484952,32293.239411431,537825
549744,32298.373546819,537825
574440,32299.261106464,537825
559104,32300.188165694,537825
485144,32301.090608976,537825
560864,32302.311480338,537825
556064,32303.216520263,537825
569744,32308.403511487,537825
464616,32309.323257547,537825
508096,32310.07313624,537825
465440,32310.893532686,537825
542840,32311.645131559,537825
523496,32312.521272578,537825
481888,32313.366165902,537825
527584,32318.568872402,537825
577656,32319.420465894,537825
591440,32320.352558284,537825
552240,32321.306929936,537825
483816,32322.198129175,537825
497136,32322.979116345,537825
488240,32323.781482964,537825
474736,32329.011740771,424520
450816,32329.77811056,424520
443352,32330.505755808,424520
350008,32331.221386604,424520
477520,32331.786568818,424520
403736,32332.557723121,424520
380640,32333.210215905,424520
415184,32338.363444578,424520
336920,32339.033436853,424520
271496,32339.577489999,424520
404488,32340.016101036,424520
514688,32340.669489583,424520
446896,32341.500414374,424520
427936,32342.222148016,424520
490736,32342.913054525,424520
488856,32343.705319119,424520
472832,32348.853472233,424520
432128,32349.617074664,424520
508152,32350.315025064,424520
407848,32351.135304799,424520
460744,32351.794104599,424520
473864,32352.537781973,424520
497544,32353.302707642,424520
413016,32358.453357734,424520
404568,32359.120291662,424520
453704,32359.773327443,424520
429944,32360.505800597,424520
454712,32361.200281417,424520
416312,32361.93494904,424520
457880,32362.607504304,424520
491712,32363.347002853,424520
459648,32368.492501976,424520
498184,32369.234203852,424520
475016,32370.038568719,424520
481736,32370.80538283,424520
480368,32371.583103845,424520
472920,32372.358465366,424520
483256,32373.121874594,424520
473816,32378.273444147,424520
495768,32379.038808385,424520
457840,32379.83947001,424520
514200,32380.578577122,424520
511208,32381.408599267,424520
447504,32382.233701978,424520
408376,32382.956271788,424520
437480,32383.615557745,424520
459704,32388.763441368,424520
354864,32393.902758311,424520
439408,32394.476209609,424520
418112,32395.185605325,424520
463256,32395.861343223,424520
469424,32396.609463221,424520
494280,32397.367319196,424520
470008,32398.165214646,424520
406552,32403.381023012,424520
370216,32404.037905142,424520
316832,32404.635990063,424520
375992,32405.147751605,424520
428192,32405.754844519,424520
442032,32406.446115004,424520
413216,32407.159935136,424520
500712,32407.827431028,424520
388296,32408.635992448,424520
480848,32413.774646943,424520
471592,32414.551060285,424520
401008,32415.312378817,424520
252224,32415.95995637,424520
480856,32416.367784351,424520
539168,32417.143550779,424520
239072,32418.013959739,424520
239256,32418.400223725,424520
266656,32423.481407274,424520
314504,32423.912078649,424520
337904,32424.42027332,424520
376688,32424.966115409,352546
362864,32425.575143672,352546
431544,32426.16162623,352546
327256,32426.858641365,352546
359888,32427.387111689,352546
394616,32427.9684595,352546
357296,32428.6058144,352546
374056,32433.703354329,352546
381552,32434.307335893,352546
392024,32434.923332476,352546
355328,32435.55628951,352546
374480,32436.130038407,352546
448560,32436.734878926,352546
355960,32437.459369164,352546
345816,32438.03435565,352546
230832,32443.249433935,352546
243088,32443.622694375,352546
401584,32444.015930525,352546
358336,32444.664747195,352546
373872,32445.243322859,352546
441832,32445.847073538,352546
369752,32446.560443772,352546
214464,32447.157589662,352546
393144,32447.504258963,352546
283528,32448.139006891,352546
341176,32453.250874652,352546
388408,32453.802018724,352546
363744,32454.42952729,352546
313984,32455.017226892,352546
359808,32455.524753867,352546
291992,32456.106434205,352546
360768,32456.578149234,352546
384568,32457.160969509,352546
341704,32457.782881604,352546
394600,32458.335355485,352546
409704,32463.513411236,352546
408896,32463.635059152,352546
375792,32463.796032097,352546
428192,32463.924429577,352546
358752,32464.015904583,352546
473528,32464.092770464,424520
472392,32464.251019876,424520
478488,32464.360001696,424520
487296,32464.489115944,424520
480016,32464.70275263,424520
408784,32464.841733591,424520
329904,32465.006879635,424520
242136,32465.212812527,424520
369168,32465.369561023,424520
349456,32465.581007122,424520
400592,32465.733691982,424520
471216,32465.833911065,424520
471080,32465.934542432,424520
317888,32466.039614801,424520
538336,32466.126670538,424520
334632,32466.257622536,424520
388368,32466.586125135,424520
470096,32466.715471417,424520
346640,32467.012544641,424520
345664,32467.166068752,424520
396432,32467.304592402,424520
355080,32467.704159212,424520
405664,32467.843073327,424520
357568,32467.957382775,424520
399576,32468.123948635,424520
321960,32468.769246852,424520
421816,32469.290040185,424520
434328,32469.971597473,424520
493456,32470.672841713,424520
449400,32471.469980538,424520
463288,32472.195668264,424520
476768,32472.943330394,424520
466568,32473.712855407,424520
503792,32478.89834851,424520
490600,32479.711680901,424520
441392,32480.50346971,424520
312520,32481.216533363,424520
471024,32481.721879667,424520
504704,32482.483050166,424520
421888,32483.298005124,424520
489216,32488.470174801,424520
236296,32489.259869771,424520
474024,32489.680340712,424520
514272,32490.445413315,424520
470440,32491.275472728,424520
431136,32492.034568124,424520
439464,32492.730741064,424520
307632,32493.440190571,424520
439528,32498.593437142,424520
485328,32499.303588795,424520
370032,32500.08737766,424520
483840,32500.685065282,424520
436816,32501.4662016,424520
502544,32502.171541524,424520
461880,32502.983050726,424520
448992,32503.729262987,424520
482512,32508.880872548,424520
511824,32509.660375262,424520
483648,32510.486719082,424520
473456,32511.267761406,424520
491640,32512.032235311,424520
354104,32512.9203541,424520
514736,32513.492838577,424520
385464,32518.668654496,424520
496968,32519.29146085,424520
491744,32520.09491436,424520
441608,32520.888781256,424520
430168,32521.601996378,424520
411880,32522.296900018,424520
466072,32522.962044844,424520
352224,32523.714662756,424520
384280,32528.899818754,424520
395984,32529.521385703,424520
406920,32530.16145104,424520
414776,32530.818466416,424520
363848,32531.488427822,424520
353560,32532.076194388,424520
451928,32532.647787275,424520
522000,32533.377692726,424520
433032,32538.543414016,424520
509592,32539.242579869,424520
333728,32540.065629832,424520
485312,32540.605349754,424520
564208,32541.388840175,424520
109064,32542.299663027,424520
351224,32542.476493611,424520
357224,32543.043420933,424520
444032,32543.620365786,424520
449928,32548.743409233,424520
464344,32549.470342519,424520
436000,32550.220704047,424520
432936,32550.924833201,424520
478520,32551.623796946,424520
482856,32552.396972591,424520
456384,32553.176819436,424520
481640,32558.33778602,424520
475920,32559.116298909,424520
458016,32559.885746263,424520
459272,32560.625858806,424520
529064,32561.367473496,424520
480288,32562.221526855,424520
427056,32562.997024422,424520
438816,32563.68721151,424520
493440,32568.983389114,424520
426496,32569.78004632,424520
570344,32570.468511436,424520
460240,32571.389665654,424520
417464,32572.133036008,424520
327728,32572.808322,424520
439528,32573.339221016,424520
473648,32578.493325143,424520
492160,32579.258038783,424520
533032,32580.052665295,424520
497368,32580.91337731,424520
439712,32581.716622694,424520
490504,32582.427334531,424520
514944,32583.219658252,424520
476056,32588.401239305,424520
465112,32589.170756074,424520
486488,32589.922316607,424520
506392,32590.707710979,424520
501872,32591.525323428,424520
360432,32592.336156555,424520
259392,32592.919027613,424520
351384,32593.33828891,424520
397056,32598.603414142,424520
441240,32599.246094181,424520
446984,32599.958466428,424520
516336,32600.680625194,424520
475696,32601.514982473,424520
489752,32602.282879619,424520
546752,32603.073422333,424520
436536,32608.443419493,424520
483360,32609.148357744,424520
481720,32609.929617093,424520
477696,32610.707178483,424520
510720,32611.478463274,424520
473680,32612.303276856,424520
476312,32613.068807909,424520
418688,32613.837916829,424520
514816,32619.253492224,424520
427464,32620.085114129,424520
495848,32620.77556111,424520
514608,32621.576709225,424520
476648,32622.407969489,424520
